original_release_year,example_no,igdb_id,name,game_type,genres,themes,game_modes,platforms,thematic_fit_score,visibility_count_score,broad_candidate_for_archetype_annotation
1988,1,1068,Super Mario Bros. 3,Main Game,Platform,Action | Fantasy,Multiplayer | Single player,Arcade | Family Computer | Nintendo 3DS | Nintendo Entertainment System | Wii | Wii U,5.5,5112.0,True
1988,2,7558,Ninja Gaiden,Main Game,Arcade | Hack and slash/Beat 'em up,Action | Fantasy,Co-operative | Single player,Arcade | Wii,5.5,378.0,True
1988,3,2604,Altered Beast,Main Game,Hack and slash/Beat 'em up | Platform,Action | Fantasy | Historical | Survival,Co-operative | Single player | Split screen,Amiga | Amstrad CPC | Android | Arcade | Atari ST/STE | Commodore C64/128/MAX | DOS | MSX | ZX Spectrum | iOS,5.5,333.0,True
1988,4,4622,Super Contra,Main Game,Arcade | Platform | Shooter,Action | Science fiction,Co-operative | Multiplayer | Single player,Amiga | Arcade | DOS | PC (Microsoft Windows),5.5,261.0,True
1988,5,6790,Double Dragon II: The Revenge,Main Game,Adventure | Arcade | Fighting | Hack and slash/Beat 'em up,Action,Co-operative | Multiplayer | Single player,Arcade,5.5,234.0,True
1988,6,6817,Ghouls 'n Ghosts,Main Game,Arcade | Platform,Action | Fantasy | Horror,Single player,Amiga | Arcade | Atari ST/STE | Sharp X68000,5.5,222.0,True
1988,7,16474,Final Fantasy II,Main Game,Adventure | Role-playing (RPG),Fantasy | Open world | Sandbox,Single player,Family Computer | Nintendo 3DS | Wii | Wii U,5.5,193.0,True
1988,8,2603,Battle Chess,Main Game,Card & Board Game | Strategy | Turn-based strategy (TBS),Fantasy | Historical,Multiplayer | Single player,3DO Interactive Multiplayer | Acorn Archimedes | Amiga | Amiga CD32 | Apple II | Apple IIGS | Atari ST/STE | Commodore C64/128/MAX | Commodore CDTV | DOS | FM Towns | PC (Microsoft Windows) | PC-9800 Series | Sharp X68000,2.0,183.0,True
1988,9,106,Zak McKracken and the Alien Mindbenders,Main Game,Adventure | Point-and-click,Comedy | Science fiction,Single player,Amiga | Atari ST/STE | Commodore C64/128/MAX | DOS | FM Towns | Linux | Mac | PC (Microsoft Windows),5.5,120.0,True
1988,10,2367,Blaster Master,Main Game,Adventure | Arcade | Platform | Shooter,Action | Horror | Science fiction,Single player,Family Computer | Nintendo 3DS | Nintendo Entertainment System | Wii | Wii U,5.5,110.0,True
1988,11,6013,RoboCop,Main Game,Arcade | Platform | Shooter,Action | Science fiction,Single player,Arcade,5.5,108.0,True
1988,12,6317,Cabal,Main Game,Arcade | Shooter,Action | Warfare,Multiplayer | Single player,Amiga | Amstrad CPC | Arcade | Atari ST/STE | Commodore C64/128/MAX | DOS | Nintendo Entertainment System | ZX Spectrum,5.5,93.0,True
1988,13,18532,Ice Hockey,Main Game,Sport,Action,Multiplayer | Single player,Family Computer Disk System | Nintendo Entertainment System | Wii | Wii U,2.0,93.0,True
1988,14,8656,Leisure Suit Larry 2: Goes Looking for Love (in Several Wrong Places),Main Game,Adventure | Point-and-click,Comedy,Single player,Amiga | Atari ST/STE | DOS | Linux | Mac | PC (Microsoft Windows),5.5,90.0,True
